precinct,name,D4FB9490-1894-4FDA-8B56-7F4F3ED9B091,644C66DB-A941-4A6B-84E8-F6BC74C141C9,9CDF26E3-3012-4632-8C7B-C1456DDF3064,99BD0065-026B-4EA4-B088-501D2FC573E1,A62D6806-BC94-4561-A4B0-64452E37D193,509E1F9B-270D-4409-B7F1-8A0487C52CF1,EB8CB5C3-1BB2-4E6C-85D3-13194B72280A,34EBB1ED-214E-4930-A9FA-DA40D22EAF55,86436A87-85C4-4462-8155-61ED1422AF89
21,Susan Doctrow,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Abstain,Yes
21,Daniel Dunn,No,No,Yes,Yes,Yes,Yes,Yes,No,No
21,Anne Ehlert,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
21,Pamela Hallett,No,No,Yes,Yes,Yes,Yes,Yes,Abstain,Abstain
21,Lori Leahy,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
21,Leslie Mayer,Abstain,Abstain,Yes,Yes,No,Yes,Yes,No,No
21,Zarina Memon,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
21,Christopher Rowell,No,No,Yes,Yes,Yes,Yes,Yes,No,No
21,Janice Weber,Yes,Yes,Yes,Yes,No,Abstain,Yes,,
21,Jordan Weinstein,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
21,David White,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
